Model,R2,AIC,LogLik
OLS,0.23856966107226774,258073.2411934168,-129030.6205967084
SLM,0.4386670776879268,45078.489537271445,-22532.244768635723
SEM,0.23775142924446896,43231.51436295525,-21609.757181477624
GWR,0.9487812622360086,14307.924233819705,
